Time,temp,light,motion
2:55:16:pm,29.43,41.66,0
2:55:16:pm,28.96,41.22,0
2:55:16:pm,29.24,41.07,0
2:55:16:pm,29.12,41.05,0
2:55:16:pm,29.32,41.71,0
2:55:16:pm,28.88,41.86,0
2:55:17:pm,29.53,41.9,0
2:55:17:pm,29.48,41.32,0
2:55:18:pm,28.96,41.73,0
2:55:18:pm,28.96,42.22,0
2:55:19:pm,29.56,41.76,0
2:55:19:pm,29.17,41.68,0
2:55:20:pm,29.27,42.34,0
2:55:20:pm,28.91,42.93,0
2:55:21:pm,29.19,43.34,0
2:55:21:pm,29.27,43.69,0
2:55:22:pm,29.50,43.59,0
2:55:22:pm,29.14,43.71,0
2:55:23:pm,29.43,45.06,0
2:55:23:pm,29.58,45.25,0